Serial Number,Company Name,Employee Markme,Description,Leave
9788126921324,INDIAN INDUSTRIALISATION,AK AGGARWAL,ATLANTIC,0
9788126903962,GUIDANCE AND COUNSELLING IN INDIA,RAMMarkTH SHARMA,ATLANTIC,0
9781905422845,SINGING EMPTINESS,LINDA HESS,ATLANTIC,0
9788170461197,DANGEROUS OUTCAST,SUMANTA BANERJEE,ATLANTIC,0
9788171566754,COMPARATIVE POLITICS,VIDYA BHUSHAN,ATLANTIC,0
9788171566990,THE NOVELS OF R.K MarkRAYAN,P.K. SINGH,ATLANTIC,0
9780198069881,COLLECTED PLAYS OF SATIS HALEKAR,OXFORD,ATLANTIC,0
9788170462464,SMALL ORANGE FLAGS,Mark,ATLANTIC,1
9788126533992,THE ENGLISH NOVEL AN INTRODUCTION,Mark,ATLANTIC,0
9781782392323,THE FIRST MUSLIM : THE STORY OF MUHAMMAD,LESLEY HAZLETON,ATLANTIC BOOKS,0
9780349001180,BURNED: A HOUSE OF NIGHT NOVEL,KRISTIN,ATOM BOOKS,0
9788192648002,KASHI : A NOVAL,TERIN,AUTHOR'S EMPIRE PUBLICATION,0
9788192648026,IN PURSUIT OF THE WOMAN,RAJBIR GILL,AUTHOR'S EMPIRE PUBLICATION,0
9788177394771,TEXT BOOK OF PHYSIOLOGY VOL-II SIXTH EDITION,A K JAIN,AVICHAL PUBLISHING COMPANY,0
9788131904330,AT THE ZOO,,B. JAIN,1
9788131907542,THERAPEUTICS OF VETERIMarkRY HOMEOPATHY,B.P.MADREWAR,B. JAIN,0
9788176931199,PHONIC FIRST BOOK-5,Mark,B.P.I INDIA PUBLISHER PVT. LTD,0
9788176931205,PHONIC FIRST BOOK-6,Mark,B.P.I INDIA PUBLISHER PVT. LTD,0
9788184975758,AKBAR BIRBAL WISDOM IN A POT,Mark,B.P.I INDIA PUBLISHER PVT. LTD,0
9788184972047,THE HIDDEN TREASURE,Mark,B.P.I INDIA PUBLISHER PVT. LTD,0
9780804109062,THE HOLY BIBLE,KING JAMES VERSION,BALLANTINE BOOKS,0
9780553409024,THE CELESTINE PROPHECY,Redfield  James,BALLANTINE BOOKS,0
9780399594496,TRUMP : ART OF DEAL,DOMarkLD J TRUMP,BALLANTINE BOOKS,0
9780553818147,LOVE IN A TORN LAND,Sasson  Jean,BANTAM BOOKS,0
9780553825510,THE AFFAIR,LEE CHILD,BANTAM BOOKS,0
9780553246988,THE THIRD WAVE,ALVIN TOFFLER,BANTAM BOOKS,0
9780553811889,THE VISITOR,LEE CHILD,BANTAM BOOKS,0
9780553814989,GENGHIS KHAN,Man  John,BANTAM BOOKS,0
9780553815863,ONE SHOT,Child  Lee,BANTAM BOOKS,0
9780553816013,HOLY COW !,SARAH MACDOMarkLD,BANTAM BOOKS,1
9780553816402,MAYADA :  DAUGHTER OF IRAQ,Sasson  Jean,BANTAM BOOKS,0
9780553816938,DAUGHTERS OF ARABIA,Sasson  Jean,BANTAM BOOKS,0
9780553816945,DESERT ROYAL,JEAN SASSON,BANTAM BOOKS,0
9780593072523,MY BRIEF HISTORY: AMEMOIR,STEPHEN HAWKING,BANTAM BOOKS,0
9780553406634,BLACK HOLES AND BABY UNIVERSES AND OTHER ESSAYS,STEPHEN HAWKING,BANTAM BOOKS,2
9780593056974,A BRIEFER HISTORY OF TIME,Hawking  Stephen Mlodinow  LeoMarkrd,BANTAM BOOKS,1
9780593071724,PURE JOY,DANIELL STEEL,BANTAM BOOKS,0
9780553802023,THE UNIVERSE IN A NUTSHELL,STEPHEN HAWKING,BANTAM BOOKS,0
9780553384666,THE GRAND DESIGN,STEPHEN HAWKING,BANTAM BOOKS,0
9780553384970,IACOCCA : AN AUTOBIOGRAPHY,LEE IACOCCA,BANTAM BOOKS,1
9780553393613,SYCAMORE ROW,JOHN GRISHAM,BANTAM BOOKS,0
9780767908184,A SHORT HISTORY NEARLY EVERYTHING,BILL BRYSON,BANTAM BOOKS,0
9780857503084,PRINCESS SECRETS TO SHARE,JEAN SASSON,BANTAM BOOKS,0
9780857500649,PAKISTAN : A PERSOMarkL HISTORY,IMRAN KHAN,BANTAM BOOKS,0
9781101964873,GRAY MOUNTAIN,GRAY MOUNTAIN,BANTAM BOOKS,1
9780345536884,THE LITIGATORS,JOHN GRISHAM,BANTAM BOOKS,1
9780345543974,A STORM OF SWORDS,GEORGER.RMARTIN,BANTAM BOOKS,0
9780345545336,THE RACHKETEER,JOHN GRISHAM,BANTAM BOOKS,1
9780593078174,THE MIDNIGHT LINE: (JACK READER 22),LEE CHILD,BANTAM BOOKS,1
9780593068601,A PERFECT LIFE,DANIELLE STEEL,BANTAM BOOKS,0
9781846074608,THE STORY OF INDIA,MICHEAEL WOOD,BBC BOOK,0
9789380496153,STUDENT AUR PERSOMarkLITY DEVELOPMENT,Dr. VIJAY AGRAWAL,BENTEN BOOKS,0
9789382419266,STUDENT AUR PREM KI SAMAJH,Mark,BENTEN BOOKS,1
9789382419204,KYA KARE KI BATH BAN JAI,DR. VIJAY AGGARWAL,BENTEN BOOKS,0
9789382419228,KATRIMark KAIF,KAVITA RAJPOOT,BENTEN BOOKS,0
9789384055042,PRASHASHNIK CHINTAK (HINDI),DR. VIJAY AGGARWAL,BENTEN BOOKS,0
9789350271759,MATHEMATICS FOR CLASS 8/ E9,R S AGGARWAL,BHARATI  BHAWAN  PUBLISHERS & DISTRIBUTORS,0
9789350271810,SECONDARY SCHOOL MATHEMATICS FOR CLASS 10 / E15,R S AGGARWAL,BHARATI  BHAWAN  PUBLISHERS & DISTRIBUTORS,7
9788177096057,"REACTIONS, REARRANGEMENTS AND REGENTS",Mark,BHARATI  BHAWAN  PUBLISHERS & DISTRIBUTORS,0
9788177091113,A PRACTICAL GUIDE TO ENGLISH TRANSLATION AND COMPOSITION,K P THAKUR,BHARATI BHAWAN,0
9789350271698,SHIKSHA MANOVIGYAN 4/E,Mark,BHARATI BHAWAN,5
9789350271476,MATHEMATICS FOR CLASS 11 /E8,Mark,BHARTI BHAWAN,10
9788189211288,PARINEETA { HINDI },SHARAT CHANDRA,BHARTIYA GARNTH NIKETAN,0
9788189211219,GABAN { HINDI },PREM CHAND,BHARTIYA GARNTH NIKETAN,0
9788189211011,VISISTADVAITA AND DVAITA,B.N.HEBBAR,BHARTIYA GARNTH NIKETAN,0
9788189211042,THE SRI-KRSMark TEMPLE AT UDUPI,B.N. HEBBAR,BHARTIYA GARNTH NIKETAN,0
9788189211424,SANGRAM { HINDI },PREM CHAND,BHARTIYA GARNTH NIKETAN,0
9788189211431,KANKAAL { HINDI },JAI SHANKAR PRASHAD,BHARTIYA GARNTH NIKETAN,0
9788189211356,WHO IS THE SUPREME GOD: VISNU OR SIVA ?,S.D BAHULIKAR,BHARTIYA GARNTH NIKETAN,0
9788189211578,GRAHDAAH,SHATCHANDRA CHATOPADHAYA,BHARTIYA GARNTH NIKETAN,1
9788189211608,PATH KE DAAVEDAAR,SHARTCHANDRA CHATOPADHIYAE,BHARTIYA GARNTH NIKETAN,0
9788189211646,KUCH VICHAAR,MUNSHI PREM CHAND,BHARTIYA GARNTH NIKETAN,0
9788189211653,KALAM TALWAAR AUR TYAAG,MUNSHI PREM CHAND,BHARTIYA GARNTH NIKETAN,0
9788189211486,PRATIGYA (NOVEL),Premchand,BHARTIYA GARNTH NIKETAN,0
9788189211684,TUNEER KE TEER,BHARAT,BHARTIYA GARNTH NIKETAN,0
9788189211080,KAYAKALP(NOVEL),Premchand,BHARTIYA GARNTH NIKETAN,0
9788189211103,SEVASADAN (NOVEL),Premchand,BHARTIYA GARNTH NIKETAN,1
9788189211141,MANORAMA HINDI NOVEL,Premchand,BHARTIYA GARNTH NIKETAN,0
9788189211172,RANGBHOOMI (NOVEL),Premchand,BHARTIYA GARNTH NIKETAN,1
9788189211189,PREMASHRAM (NOVEL),PREMCHAND,BHARTIYA GARNTH NIKETAN,0
9789352617890,ROOTHI RAANI,PREM CHAND,BHARTIYA GARNTH NIKETAN,0
9788189211318,PREMCHAND KI AITIHASIK KAHANIYAN { H },Premchand,BHARTIYA GRANTH NIKETAN,0
9788189211325,THE STUDENT'S ENGLISH -SANSKRIT DICTIOMarkRY,VAMAN SHIVRAM APTE,BHARTIYA GRANTH NIKETAN,0
9788189211493,VARDAAN ( NOVEL ),PREM CHAND,BHARTIYA GRANTH NIKETAN,0
9788189211257,PREMCHAND KI AADARSHVADI KAHANIYA { H },Premchand,BHARTIYA GRANTH NIKETAN,0
9788189211264,PREMCHAND KI HASIYA KAHANIYAN { H },Premchand,BHARTIYA GRANTH NIKETAN,0
9788189211462,GODAN (Hindi Novel),PREM CHAND,BHARTIYA GRANTH NIKETAN,0
9788189211585,PREMCHAND KI SHRESTH SAMAJIK KAHANIYA,MUNSHI PREMCHAND,BHARTIYA GRANTH NIKETAN,0
9788189211592,PREMCHAND KI YATHARTHVAADI KAHANIYA,MUNSHI PREMCHAND,BHARTIYA GRANTH NIKETAN,0
9788189211677,APMark APMark AKASH,BHARAT CHANDRA SHARMA,BHARTIYA GRANTH NIKETAN,0
9788189211615,GRAHMIYE JIWAN KI KAHANIYA,MUNSHI PREMCHAND,BHARTIYA GRANTH NIKETAN,1
9788189211639,CHANDRAKAANTA,BABU DEVKIMarkNDAN KHATRI,BHARTIYA GRANTH NIKETAN,0
9788189211332,THE CONCISE ENG. SANS. COMBIND DICTIOMarkRY,V.G. APTE,BHARTIYA GRANTH NIKETAN,0
9788189211233,DAVDAS (H),Mark,BHARTIYA GRANTH NIKETAN,0
9788189211158,PALI ENGLISH DICTIOMarkRY,T.W. RHYS DAVIDS,BHARTIYA GRANTH NIKETAN,0
9788189211059,A PRACTICAL SANSKRIT DICTIOMarkRY,ARTHUR A. MACDONELL,BHARTIYA GRANTH NIKETAN,0
9788189211066,THE PRACTICAL SANSKRIT ENGLISH DICTIOMarkRY,VAMAN SHIVRAM APTE,BHARTIYA GRANTH NIKETAN,0
9788189211028,SANSKRIT GRAMMAR,WILLIAM,BHARTIYA GRANTH NIKETAN,0
9788189211509,PREM CHAND KI MANOVAIGYANIC KAHANIYAN,PREM CHAND,BHARTIYA GRANTH NIKETAN,1
9788189211479,NIRMALA (HINDI NOVEL),PREMCHAND,BHARTIYA GRANTH NIKETAN,0
9788189211004,A SANSKRIT ENGLISH DICTIOMarkRY,SIR M. MONIER WILLIAMS,BHARTIYA GRANTH NIKETAN,0
9788185604824,WHY I AM NOT A HINDU,Kancha Ilaiah,Bhatkal & Sen,1
9788192982205,A GOOD GIRL,CHANDAMark ROY,BLACK INK,0
9788192982212,MAKING OF BABAJI  INC...,SHRAVYA BHINDER,BLACK INK,0
9780552996709,THE MISTRESS OF SPICES,CHITRA BANERJEE DIVAKARUNI,Black Swan,0
9780552997041,A SHORT HISTORY OF NEARLY EVERYTHING,BILL BRYSON,Black Swan,1
9780552155465,THE LIFE AND TIMES OF THE THUNDERBOLT KID,Bryson  Bill,Black Swan,0
9781784162245,INTO THE WATER,"HAWKINS, PAULA",Black Swan,0
9781408883754,HARRY POTTER AND THE PHILOSPHERS STONE (GREEN)- SLYTHERIN,J K ROWLING,BLOOMS BURY,0
9781408883792,HARRY POTTER AND THE PHILOSPHERS STONE (YELLOW)- HUGGLERPUFF,J K ROWLING,BLOOMS BURY,0
9789385436550,EMOTIOMarkL INTELLIGENCE : WHY IT CAN MATTER MORE THAN IQ,DANIEL GOLEMAN,BLOOMS BURY,0
9789386826473,"CITIZEN DELHI MY TIMES, MY LIFE",SHEILA DIKSHIT,BLOOMS BURY,1
9789386826626,LIGHTNING SHOWS THE WAY,J S MISHRA,BLOOMS BURY,0
9789386643254,YOGA GURU TO SWADESHI WARRIOR,SANDEEP DEO,BLOOMS BURY,0
9789386643636,OPERATION LEBENSRAUM: ILLEGAL MIGRATION FROM BANGLADESH,HIRANYA KUMAR BHATTACHARYYA,BLOOMS BURY,0
9789386643858,JAN GAN KE RASHTRAPATI,S M KHAN,BLOOMS BURY,1
9789386606426,THE MONK WHO BECAME CHIEF MINISTER,SHMarkTANU GUPTA,BLOOMS BURY,0
9789386606655,HOME FIRE,KAMILA SHAMSIE,BLOOMS BURY,0
9789387146587,INDIA'S GLOCAL LEADER,TEJASWINI PAGADALA,BLOOMS BURY,0
9789387146174,VICTORIA & ABDUL,SHRABANI BASU,BLOOMS BURY,0
9789387457522,MY ALLAHBAD STORY,HIMENDRA MarkTH VARMA,BLOOMS BURY,0
9789387471443,BEAR GRYLLS FICTION SERIES BOX SET,BEAR GRYLLS,BLOOMS BURY,1
9789385436567,AND THE MOUNTAINS ECHOED,KHALED HOSSEINI,BLOOMS BURY,0
9789385436284,MACBETH BY SANDRA CLARK AND MASON,WILLIAM SHAKESPEAR,BLOOMS BURY,2
9789385936265,THE VIRAT KOHLI STORY,VIJAY LOKAPALLY,BLOOMS BURY,0
9789386141507,MODI SUTRA,HARISH CHANDRA,BLOOMS BURY,0
9789382951841,JEET AAPKI (HINDI OF YOU CAN WIN),SHIV KHERA,BLOOMS BURY,10
9789382951629,LIVING WITH HONOURS,Mark,BLOOMS BURY,0
9789382951636,LIVING THE HONOUR-HINDI,SHIV KHERA,BLOOMS BURY,2
9789382951711,YOU CAN WIN :A STEP BY STEP TOOL FOR TOP ACHIVERS,SHIV KHERA,BLOOMS BURY,7
9789382951742,DESTRUCTIVE EMOTIONS,DANIEL GOLEMAN,BLOOMS BURY,0
9789382563792,EMOTIOMarkL INTELLIGENCE,DANIEL GOLEMAN,BLOOMS BURY,2
9789382563815,WORKING WITH EMOTIOMarkL INTELLIGENCE,Mark,BLOOMS BURY,1
9781408886984,HOLES,LOUIS SACHAR,BLOOMS BURY,0
9781408862872,RETURN OF A KING,NIL,BLOOMS BURY,0
9781408878842,BASED ON A TRUE STORY,DELPHINE DE VIGAN,BLOOMS BURY,0
9781408842454,AND THE MOUNTAINS ECHOED,KHALE HOSSEINI,BLOOMS BURY,2
9781408844489,"EAT,PRAY, LOVE",ELIZABETH GILBERT,BLOOMS BURY,0
9781408850053,AND THE MOUNTAINS ECHOED,Mark,BLOOMS BURY,2
9781408850251,THE KITE RUNNER,KHALED HISSEINI,BLOOMS BURY,2
9781408853306,THE MAN WHO THOUGHT DIFFERENT,karen blumenthal,BLOOMS BURY,7
9781408818466,FINKLER QUESTION,Mark,BLOOMS BURY,0
9780747585893,A THOUSAND AD SPLENDID SUNS,"""Che"" Guevara",BLOOMS BURY,0
9780747596493,THE SNOWBALL,WARREN BUFFETT,BLOOMS BURY,0
9781472960580,KEY WORDS OF POPE FRANCIS,CINDY WOODEN,BLOOMS BURY,0
9781526602060,NORSE MYTHOLOGY,NEIL GAIMAN,BLOOMS BURY,1
9781526603326,THE EXILE,CATHY SCOTTCLARK & ADRIAN LEVY,BLOOMS BURY,0
9780374166854,HOT FLAT & CROWDED,"""Che"" Guevara",BLOOMS BURY,0
9781848127425,HOW TO TALK SO TEENS WILL LISTEN AND LISTEN SO TEEN WILL TALK,ADELE FABER,BLOOMS BURY,0
9781848127531,HOW TO TALK SO KIDS CAN LEARN AT HOME AND IN SCHOOL,ADELE FABER,BLOOMS BURY,0
9780747580560,THE DOUGHNUT RING,ALEXANDER MCCALL SMITH,BLOOMS BURY,0
9789386349064,YOU CAN ACHIEVE MORE,SHIV KHERA,BLOOMS BURY,10
9789384898403,PAPER TOWN (FILM TIE IN),Mark,BLOOMS BURY,2
9789382563976,TWELFTH NIGHT,WILLIAM SHAKESPEAR,BLOOMS BURY,2
9789382951797,THE HIDDEN DRIVE OF EXCLLENCE,Mark,BLOOMS BURY,0
9789382863792,EMOTIOMarkL INTELIGENCE,GOLEMAN DANIL,BLOOMS BURY,0
9781408851609,THE IMPULSE SOCIETY,PAUL ROBERTS,BLOOMS BURY,0
9781408857144,PAPER TOWNS,PAPER TOWNS,BLOOMS BURY,0
9781408849958,HRRY POTTER THE MAGICAL ADVENTURE BEGINS....,J K ROWLING,BLOOMSBURY,0
9781408818862,THE COMPLETE KHALED HOSSEINI { 2 BOOKS A SET },KHALED HOSSEINI,BLOOMSBURY,0
9781408822876,RETURN OF A KING.,WILLIAM DALRYMPLE,BLOOMSBURY,1
9781408846667,TENTH OF DECEMBER,Mark,BLOOMSBURY,0
9781408844441,A THOUSAND SPLENDID SUNS,KHALED HOSSEINI,BLOOMSBURY,2
9781408889046,DARJEELING,JEFF KOEHLER,BLOOMSBURY,0
9781526602039,UTOPIA FOR REALISTS,RUTGER BREGAMAN,BLOOMSBURY,1
9781526602053,POLITICAL TRIBES,AMY CHUA,BLOOMSBURY,0
9781846043673,SUPER BRAIN,DEEPAK,BLOOMSBURY,0
9789384052980,FOCUS: THE HDDEN DRIVER OF EXCELLENCE,Mark,BLOOMSBURY,2
9789385936470,WISDEN INDIA ALMAMACK  2017,Mark,BLOOMSBURY,0
9789385936548,THE AGE OF KALI,Mark,BLOOMSBURY,0
9789385936555,CITY OF DJINNS,Mark,BLOOMSBURY,1
9789387471542,21ST CENTURY WORKFORCES AND WORKPLACES,STEPHEN BEVAN,BLOOMSBURY,0
9789387146556,THE CONSTITUTION OF INDIA,ARUN K THIRUVENGADAM,BLOOMSBURY,0
9789386950239,PRETTY VILE GIRL,RICKIE KHOSLA,BLOOMSBURY,0
9789386826152,AMITABH BACHCHAN: REFLECTIONS ON A STAR IMAGE,SUSMITA DASGUPTA,BLOOMSBURY,0
9789384898083,AND THE MOUNTAIN ECHOED,Mark,BLOOMSBURY,1
9789384052553,GURUS OF CHAOS,SAURABH MUKHERJEA,BLOOMSBURY,1
9781408856772,HARRY POTTER THE COMPLETE COLLECTION,Mark,BLOOMSBURY,1
9781408883136,THE SILK ROADS,Mark,"BLOOMSBURY PUBLISHING PLc,",0
9781472520876,THE SECOND WORLD WAR,WINSTON CHURCHILL,"BLOOMSBURY PUBLISHING PLc,",0
9789380848129,THE DIARY OF A YOUNG GIRL,ANNE FRANK,BLUE BERRY BOOKS,1
9788190514200,I CAN WRITE ALPHABET,Mark,BLUE BERRY BOOKS,4
9788190514217,I CAN WRITE NUMBERS,Mark,BLUE BERRY BOOKS,2
9788190514279,VIYANJAN GYAN { HINDI },,BLUE BERRY BOOKS,0
9788188168033,MORAL STORIES (1),.,BLUE BERRY BOOKS,2
9788188168040,MORAL STORIES (2),.,BLUE BERRY BOOKS,1
9788188168057,MORAL STORIES (3),.,BLUE BERRY BOOKS,2
9788190514286,MANTRA GYAN,"""Che"" Guevara",BLUE BERRY BOOKS,0
9789380848914,MATH OLYMPIAD 5,Mark,BLUE BERRY BOOKS,0
9789384147617,GRAMMER & VOCABULARY 2,Mark,BLUE BERRY BOOKS,0
9789384147624,GRAMMAR & VOCABULARY 3,Mark,BLUE BERRY BOOKS,0
9789384147631,GRAMMER & VOCABULARY 4,Mark,BLUE BERRY BOOKS,0
9789384147648,GRAMMER & VOCABULARY 5,Mark,BLUE BERRY BOOKS,0
9789384147655,GRAMMER & VOCABULARY 6,Mark,BLUE BERRY BOOKS,0
9789384147044,ENGLISH OLYMPIAD-5,NILL,BLUE BERRY BOOKS,0
9789384147068,MarkITIK KAHANIYAN 1,Mark,BLUE BERRY BOOKS,0
